"Run Fondo";"Serie";"fecha";"Tipo de Rentabilidad";"Rentabilidad"
"8263";APV;2023-03-02;"6M";-1.25%
"8263";APV;2023-03-02;"1Y";-1.60%
"8263";APV;2023-03-02;YTD;-0.05%
"8263";APV;2023-03-03;"1M";-0.31%
"8263";APV;2023-03-03;"3M";-0.29%
"8263";APV;2023-03-03;"6M";-1.30%
"8263";APV;2023-03-03;"1Y";-1.64%
"8263";APV;2023-03-03;YTD;-0.09%
"8263";APV;2023-03-04;"1M";-0.31%
"8263";APV;2023-03-04;"3M";-0.29%
"8263";APV;2023-03-04;"6M";-1.30%
"8263";APV;2023-03-04;"1Y";-1.76%
"8263";APV;2023-03-04;YTD;-0.08%
"8263";APV;2023-03-05;"1M";-0.31%
"8263";APV;2023-03-05;"3M";-0.31%
"8263";APV;2023-03-05;"6M";-1.49%
"8263";APV;2023-03-05;"1Y";-1.76%
"8263";APV;2023-03-05;YTD;-0.07%
"8263";APV;2023-03-06;"1M";-0.15%
"8263";APV;2023-03-06;"3M";-0.19%
"8263";APV;2023-03-06;"6M";-1.36%
"8263";APV;2023-03-06;"1Y";-1.81%
"8263";APV;2023-03-06;YTD;-0.12%
"8263";APV;2023-03-07;"1M";-0.04%
"8263";APV;2023-03-07;"3M";-0.20%
"8263";APV;2023-03-07;"6M";-0.87%
"8263";APV;2023-03-07;"1Y";-2.12%
"8263";APV;2023-03-07;YTD;-0.08%
"8263";APV;2023-03-08;"1M";-0.37%
"8263";APV;2023-03-08;"3M";-0.42%
"8263";APV;2023-03-08;"6M";-0.97%
"8263";APV;2023-03-08;"1Y";-2.22%
"8263";APV;2023-03-08;YTD;-0.29%
"8263";APV;2023-03-09;"1M";-0.49%
"8263";APV;2023-03-09;"3M";-0.66%
"8263";APV;2023-03-09;"6M";-0.98%
"8263";APV;2023-03-09;"1Y";-2.51%
"8263";APV;2023-03-09;YTD;-0.48%
"8263";APV;2023-03-10;"1M";-0.33%
"8263";APV;2023-03-10;"3M";-0.58%
"8263";APV;2023-03-10;"6M";-0.90%
"8263";APV;2023-03-10;"1Y";-2.73%
"8263";APV;2023-03-10;YTD;-0.39%
"8263";APV;2023-03-11;"1M";-0.33%
"8263";APV;2023-03-11;"3M";-0.58%
"8263";APV;2023-03-11;"6M";-0.90%
"8263";APV;2023-03-11;"1Y";-2.63%
"8263";APV;2023-03-11;YTD;-0.38%
"8263";APV;2023-03-12;"1M";-0.33%
"8263";APV;2023-03-12;"3M";-0.46%
"8263";APV;2023-03-12;"6M";-0.76%
"8263";APV;2023-03-12;"1Y";-2.63%
"8263";APV;2023-03-12;YTD;-0.37%
"8263";APV;2023-03-13;"1M";"0.09%"
"8263";APV;2023-03-13;"3M";-0.12%
